Invoice ID,Branch,City,Customer type,Gender,Rating
750-67-8428,A,Sukhumvit,Member,Female,10
226-31-3081,C,Rama 9,Normal,Female,10
631-41-3108,A,Sukhumvit,Normal,Male,8
123-19-1176,A,Sukhumvit,Member,Male,9
373-73-7910,A,Sukhumvit,Normal,Male,6
699-14-3026,C,Rama 9,Normal,Male,5
355-53-5943,A,Sukhumvit,Member,Female,6
315-22-5665,C,Rama 9,Normal,Female,8
665-32-9167,A,Sukhumvit,Member,Female,8
692-92-5582,B,Rama 2,Member,Female,6
351-62-0822,B,Rama 2,Member,Female,5
529-56-3974,B,Rama 2,Member,Male,7
365-64-0515,A,Sukhumvit,Normal,Female,8
252-56-2699,A,Sukhumvit,Normal,Male,9
829-34-3910,A,Sukhumvit,Normal,Female,6
299-46-1805,B,Rama 2,Member,Female,5
656-95-9349,A,Sukhumvit,Member,Female,5
765-26-6951,A,Sukhumvit,Normal,Male,7
329-62-1586,A,Sukhumvit,Normal,Male,9
319-50-3348,B,Rama 2,Normal,Female,5
300-71-4605,C,Rama 9,Member,Male,5
371-85-5789,B,Rama 2,Normal,Male,6
273-16-6619,B,Rama 2,Normal,Male,5
636-48-8204,A,Sukhumvit,Normal,Male,10
549-59-1358,A,Sukhumvit,Member,Male,6
227-03-5010,A,Sukhumvit,Member,Female,9
649-29-6775,B,Rama 2,Normal,Male,7
189-17-4241,A,Sukhumvit,Normal,Female,8
145-94-9061,B,Rama 2,Normal,Female,10
848-62-7243,A,Sukhumvit,Normal,Male,8
871-79-8483,B,Rama 2,Normal,Male,5
149-71-6266,B,Rama 2,Member,Male,5
640-49-2076,B,Rama 2,Normal,Male,6
595-11-5460,A,Sukhumvit,Normal,Male,6
183-56-6882,C,Rama 9,Member,Female,8
232-16-2483,C,Rama 9,Member,Female,7
129-29-8530,A,Sukhumvit,Member,Male,7
272-65-1806,A,Sukhumvit,Normal,Female,5
333-73-7901,C,Rama 9,Normal,Female,8
777-82-7220,B,Rama 2,Member,Male,8
280-35-5823,B,Rama 2,Member,Female,8
554-53-8700,C,Rama 9,Member,Male,7
354-25-5821,B,Rama 2,Member,Female,6
228-96-1411,C,Rama 9,Member,Female,8
617-15-4209,C,Rama 9,Member,Male,8
132-32-9879,B,Rama 2,Member,Female,10
370-41-7321,B,Rama 2,Member,Male,9
727-46-3608,B,Rama 2,Member,Female,5
669-54-1719,B,Rama 2,Member,Male,9
574-22-5561,C,Rama 9,Member,Female,8
326-78-5178,C,Rama 9,Member,Male,10
162-48-8011,A,Sukhumvit,Member,Female,9
616-24-2851,B,Rama 2,Member,Female,7
778-71-5554,C,Rama 9,Member,Male,7
242-55-6721,B,Rama 2,Normal,Male,7
399-46-5918,C,Rama 9,Normal,Female,9
106-35-6779,A,Sukhumvit,Member,Male,6
635-40-6220,A,Sukhumvit,Normal,Male,7
817-48-8732,A,Sukhumvit,Member,Female,6
120-06-4233,C,Rama 9,Normal,Male,10
285-68-5083,C,Rama 9,Member,Female,10
803-83-5989,C,Rama 9,Normal,Male,7
347-34-2234,B,Rama 2,Member,Female,10
199-75-8169,A,Sukhumvit,Member,Male,9
853-23-2453,B,Rama 2,Member,Male,8
877-22-3308,A,Sukhumvit,Member,Male,6
838-78-4295,C,Rama 9,Normal,Female,7
109-28-2512,B,Rama 2,Member,Female,10
232-11-3025,A,Sukhumvit,Normal,Male,7
382-03-4532,A,Sukhumvit,Member,Female,5
393-65-2792,C,Rama 9,Normal,Male,10
796-12-2025,C,Rama 9,Normal,Male,6
510-95-6347,B,Rama 2,Member,Female,4
841-35-6630,C,Rama 9,Normal,Female,9
287-21-9091,A,Sukhumvit,Normal,Male,10
732-94-0499,C,Rama 9,Normal,Female,6
263-10-3913,C,Rama 9,Member,Male,9
381-20-0914,A,Sukhumvit,Member,Female,6
829-49-1914,C,Rama 9,Member,Female,7
756-01-7507,C,Rama 9,Normal,Female,6
870-72-4431,C,Rama 9,Normal,Female,6
847-38-7188,B,Rama 2,Normal,Female,7
480-63-2856,C,Rama 9,Normal,Male,7
787-56-0757,C,Rama 9,Member,Female,9
360-39-5055,C,Rama 9,Member,Male,7
730-50-9884,C,Rama 9,Normal,Female,4
362-58-8315,C,Rama 9,Normal,Male,10
633-44-8566,A,Sukhumvit,Member,Male,8
504-35-8843,A,Sukhumvit,Normal,Male,6
318-68-5053,B,Rama 2,Normal,Female,7
565-80-5980,C,Rama 9,Member,Female,8
225-32-0908,C,Rama 9,Normal,Female,9
873-51-0671,A,Sukhumvit,Member,Female,6
152-08-9985,B,Rama 2,Member,Male,9
512-91-0811,C,Rama 9,Normal,Male,7
594-34-4444,A,Sukhumvit,Normal,Male,8
766-85-7061,B,Rama 2,Normal,Male,6
871-39-9221,C,Rama 9,Normal,Female,5
865-92-6136,A,Sukhumvit,Normal,Male,10
733-01-9107,B,Rama 2,Normal,Male,8
163-56-7055,C,Rama 9,Member,Male,5
189-98-2939,C,Rama 9,Normal,Male,8
551-21-3069,C,Rama 9,Normal,Female,5
212-62-1842,A,Sukhumvit,Normal,Male,10
716-39-1409,B,Rama 2,Normal,Male,8
704-48-3927,A,Sukhumvit,Member,Male,8
628-34-3388,C,Rama 9,Normal,Male,8
630-74-5166,A,Sukhumvit,Normal,Male,8
588-01-7461,C,Rama 9,Normal,Female,5
861-77-0145,C,Rama 9,Member,Male,10
479-26-8945,B,Rama 2,Member,Female,5
210-67-5886,C,Rama 9,Member,Female,8
227-78-1148,B,Rama 2,Normal,Female,9
645-44-1170,A,Sukhumvit,Member,Male,5
237-01-6122,C,Rama 9,Member,Female,10
225-98-1496,C,Rama 9,Normal,Female,8
291-32-1427,B,Rama 2,Member,Male,6
659-65-8956,B,Rama 2,Member,Male,6
642-32-2990,A,Sukhumvit,Normal,Female,6
378-24-2715,B,Rama 2,Normal,Male,5
638-60-7125,A,Sukhumvit,Normal,Female,6
659-36-1684,C,Rama 9,Member,Male,7
219-22-9386,B,Rama 2,Member,Male,5
336-78-2147,C,Rama 9,Member,Male,5
268-27-6179,B,Rama 2,Member,Female,8
668-90-8900,A,Sukhumvit,Normal,Female,5
870-54-3162,A,Sukhumvit,Normal,Female,9
189-08-9157,C,Rama 9,Normal,Female,6
663-86-9076,C,Rama 9,Member,Female,9
549-84-7482,B,Rama 2,Normal,Female,8
191-10-6171,B,Rama 2,Normal,Female,8
802-70-5316,A,Sukhumvit,Member,Female,9
695-51-0018,B,Rama 2,Normal,Female,8
590-83-4591,B,Rama 2,Member,Male,9
