Invoice ID,Product line,Unit price thb,Quantity,Total thb,Date,Time,Rating
750-67-8428,Health and beauty,864.03,2,1728.06,1/5/2019,13:08,10
226-31-3081,Electronic accessories,176.97,2,353.94,3/8/2019,10:29,10
631-41-3108,Home and lifestyle,536.115,2,1072.23,3/3/2019,13:23,8
123-19-1176,Health and beauty,673.527,3,2020.581,1/27/2019,20:33,9
373-73-7910,Sports and travel,998.319,5,4991.595,2/8/2019,10:37,6
699-14-3026,Electronic accessories,987.909,3,2963.727,3/25/2019,18:30,5
355-53-5943,Electronic accessories,796.365,5,3981.825,2/25/2019,14:36,6
315-22-5665,Home and lifestyle,850.844,1,850.844,2/24/2019,11:38,8
665-32-9167,Health and beauty,419.523,4,1678.092,1/10/2019,17:15,8
692-92-5582,Food and beverages,634.316,5,3171.58,2/20/2019,13:27,6
351-62-0822,Fashion accessories,167.601,5,838.005,2/6/2019,18:07,5
529-56-3974,Electronic accessories,295.297,4,1181.188,3/9/2019,17:03,7
365-64-0515,Electronic accessories,543.055,5,2715.275,2/12/2019,10:25,8
252-56-2699,Food and beverages,499.68,5,2498.4,2/7/2019,16:48,9
829-34-3910,Health and beauty,825.86,4,3303.44,3/29/2019,19:21,6
299-46-1805,Sports and travel,1084.028,4,4336.112,1/15/2019,16:19,5
656-95-9349,Health and beauty,797.406,4,3189.624,3/11/2019,11:03,5
765-26-6951,Sports and travel,840.087,3,2520.261,1/1/2019,10:39,7
329-62-1586,Food and beverages,632.581,5,3162.905,1/21/2019,18:00,9
319-50-3348,Home and lifestyle,466.368,2,932.736,3/11/2019,15:30,5
300-71-4605,Electronic accessories,995.196,1,995.196,2/25/2019,11:24,5
371-85-5789,Health and beauty,1017.751,4,4071.004,3/5/2019,10:40,6
273-16-6619,Home and lifestyle,384.129,3,1152.387,3/15/2019,12:20,5
636-48-8204,Electronic accessories,399.744,5,1998.72,2/17/2019,11:15,10
549-59-1358,Sports and travel,1025.385,4,4101.54,3/2/2019,17:36,6
227-03-5010,Home and lifestyle,608.291,2,1216.582,3/22/2019,19:20,9
649-29-6775,Fashion accessories,387.946,3,1163.838,2/8/2019,15:31,7
189-17-4241,Fashion accessories,1014.281,5,5071.405,3/10/2019,12:17,8
145-94-9061,Food and beverages,1022.262,3,3066.786,1/25/2019,19:48,10
848-62-7243,Health and beauty,288.01,4,1152.04,3/15/2019,15:36,8
871-79-8483,Fashion accessories,1088.886,1,1088.886,2/25/2019,19:39,5
149-71-6266,Sports and travel,903.241,5,4516.205,1/28/2019,12:43,5
640-49-2076,Sports and travel,969.171,3,2907.513,1/10/2019,14:49,6
595-11-5460,Health and beauty,1117.34,2,2234.68,3/15/2019,10:12,6
183-56-6882,Food and beverages,1149.958,5,5749.79,2/6/2019,10:42,8
232-16-2483,Sports and travel,788.037,1,788.037,1/7/2019,12:28,7
129-29-8530,Sports and travel,724.536,5,3622.68,3/10/2019,19:15,7
272-65-1806,Electronic accessories,704.41,1,704.41,1/15/2019,17:17,5
333-73-7901,Health and beauty,635.357,4,2541.428,3/23/2019,13:24,8
777-82-7220,Home and lifestyle,348.388,1,348.388,3/3/2019,13:01,8
280-35-5823,Home and lifestyle,1003.177,3,3009.531,1/17/2019,18:45,8
554-53-8700,Home and lifestyle,649.237,3,1947.711,2/2/2019,10:11,7
354-25-5821,Sports and travel,799.488,1,799.488,2/8/2019,13:03,6
228-96-1411,Food and beverages,1141.63,2,2283.26,3/4/2019,20:39,8
617-15-4209,Health and beauty,178.011,5,890.055,3/16/2019,19:47,8
132-32-9879,Electronic accessories,1086.804,5,5434.02,3/9/2019,18:00,10
370-41-7321,Health and beauty,655.83,3,1967.49,2/27/2019,17:24,9
727-46-3608,Food and beverages,231.449,1,231.449,2/6/2019,15:47,5
669-54-1719,Electronic accessories,218.957,1,218.957,2/10/2019,12:45,9
574-22-5561,Fashion accessories,955.985,3,2867.955,3/19/2019,17:08,8
326-78-5178,Food and beverages,1057.309,4,4229.236,2/3/2019,10:19,10
162-48-8011,Food and beverages,515.989,2,1031.978,2/10/2019,15:10,9
616-24-2851,Fashion accessories,206.812,5,1034.06,3/22/2019,14:42,7
778-71-5554,Fashion accessories,178.705,4,714.82,1/25/2019,15:46,7
242-55-6721,Home and lifestyle,187.033,1,187.033,3/7/2019,11:49,7
399-46-5918,Electronic accessories,994.502,4,3978.008,2/28/2019,19:01,9
106-35-6779,Home and lifestyle,512.866,5,2564.33,3/27/2019,11:26,6
635-40-6220,Health and beauty,1036.489,5,5182.445,2/7/2019,11:28,7
817-48-8732,Home and lifestyle,836.964,5,4184.82,1/20/2019,15:55,6
120-06-4233,Electronic accessories,354.287,2,708.574,3/12/2019,20:36,10
285-68-5083,Sports and travel,286.275,2,572.55,2/15/2019,17:47,10
803-83-5989,Home and lifestyle,644.726,4,2578.904,2/24/2019,10:55,7
